IDProducto,Descripcion_Articulo,Descripcion_Articulo_Largo,Cod_Familia,Val_MonedaNacional,Val_MonedaExtranjera,Codigo_Marca,Descripcion_Marca,Tipo_Presentacion,Descripcion_Tipo_Presentacion,Codigo_Empresa,Codigo_UnidadMedida,Descripcion_UnidadMedida
1028,Toshiba SD-V55HT DVD / VCR,Toshiba SD-V55HT DVD / VCR,113,1868.175,655.5,NULL,Toshiba,NULL,Estandar,NULL,UNI,UNIDADES
1029,Sony DAV-BC150 5-Disc Progressive Scan,Sony DAV-BC150 5-Disc Progressive Scan,113,3636.5715,1275.99,NULL,Sony,NULL,Estandar,NULL,UNI,UNIDADES
1030,Kenwood HTB-307,Kenwood HTB-307,113,1595.9715,559.99,NULL,Kenwood,NULL,Estandar,NULL,UNI,UNIDADES
1031,Sharp SD-EX200,Sharp SD-EX200,113,2564.8575,899.95,NULL,Sharp,NULL,Estandar,NULL,UNI,UNIDADES
1032,Sony D-EJ100PS Psyc,Sony D-EJ100PS Psyc,114,142.1295,49.87,NULL,Sony,NULL,Walkman,NULL,UNI,UNIDADES
1033,Panasonic SL-SX430  CD/MP3,Panasonic SL-SX430  CD/MP3,114,127.908,44.88,NULL,Panasonic,NULL,CD/MP3,NULL,UNI,UNIDADES
1034,Sony D-NF400 ATRAC AM/FM y protector termico,Sony D-NF400 ATRAC AM/FM y protector termico,114,207.9645,72.97,NULL,Sony,NULL,AM/FM,NULL,UNI,UNIDADES
1035,iRiver SlimX iMP-550 CD / MP3 diseño ultraligero,iRiver SlimX iMP-550 CD / MP3 diseño ultraligero,114,364.8,128,NULL,iRiver,NULL,CD/MP3,NULL,UNI,UNIDADES
1036,Panasonic SL-SV570 Pers,Panasonic SL-SV570 Pers,114,113.9715,39.99,NULL,Panasonic,NULL,Estandar,NULL,UNI,UNIDADES
1037,Sony D-NS505 S2 Sports,Sony D-NS505 S2 Sports,114,227.6295,79.87,NULL,Sony,NULL,Deportivo,NULL,UNI,UNIDADES
1038,JVC XL-PR3 MP3-CD,JVC XL-PR3 MP3-CD,114,165.2715,57.99,NULL,JVC,NULL,CD/MP3,NULL,UNI,UNIDADES
1039,Audiovox Electronics CE240,Audiovox Electronics CE240,114,94.0215,32.99,NULL,Audiovox,NULL,CD/MP3,NULL,UNI,UNIDADES
1040,COBY CXCD210 Super Slim,COBY CXCD210 Super Slim,114,56.658,19.88,NULL,COBY,NULL,Ultraligero,NULL,UNI,UNIDADES
1041,Samsung MCD-HF920,Samsung MCD-HF920,114,196.65,69,NULL,Samsung,NULL,Estandar,NULL,UNI,UNIDADES
1042,Aiwa Micro Componente XR-EM330 15 W,Aiwa Micro Componente XR-EM330 15 W,115,455.05,133.06,NULL,Aiwa,NULL,Pequeño,NULL,UNI,UNIDADES
1043,LG Micro Sistemas LX-M341 30w,LG Micro Sistemas LX-M341 30w,115,455.05,133.06,NULL,LG,NULL,Mediano,NULL,UNI,UNIDADES
1044,LG Minicomponente LM-M533 50W,LG Minicomponente LM-M533 50W,115,578.55,169.17,NULL,LG,NULL,Mediano,NULL,UNI,UNIDADES
1045,Sony Mini Componente MHC-GN660 4200w,Sony Mini Componente MHC-GN660 4200w,115,1329.5,388.65,NULL,Sony,NULL,Grande,NULL,UNI,UNIDADES
1046,Sony Radiograbadora  CFD-G55,Sony Radiograbadora  CFD-G55,115,559,196.1404,NULL,Sony,NULL,Estandar,NULL,UNI,UNIDADES
1047,Pioneer Minicomponente X-A390 800W,Pioneer Minicomponente X-A390 800W,115,809,283.8596,NULL,Pioneer,NULL,Mediano,NULL,UNI,UNIDADES
1048,JVC Minicomponente SKU 10074829,JVC Minicomponente SKU 10074829,115,839,294.386,NULL,JVC,NULL,Estandar,NULL,UNI,UNIDADES
1049,Kenwood Auto Radio4 10071945,Kenwood Auto Radio4 10071945,115,879,308.4211,NULL,Kenwood,NULL,Autoradio,NULL,UNI,UNIDADES
1050,Panasonic Minicomponente  1400W,Panasonic Minicomponente  1400W,115,459,161.0526,NULL,Panasonic,NULL,Grande,NULL,UNI,UNIDADES
1051,"Yamaha Parlantes YST-SW215 8""","Yamaha Parlantes YST-SW215 8""",116,424.65,149,NULL,Yamaha,NULL,Subwoofer,NULL,UNI,UNIDADES
1052,Sony Parlantes SAWM500 150 Watt,Sony Parlantes SAWM500 150 Watt,116,501.6,176,NULL,Sony,NULL,Subwoofer,NULL,UNI,UNIDADES
1053,Sony IMPACT 5066 15W Amplificador digital,Sony IMPACT 5066 15W Amplificador digital,116,397.575,139.5,NULL,Sony,NULL,Amplificador,NULL,UNI,UNIDADES
1054,MUVO TX FM CREAT 1GB ROJO/NG,MUVO TX FM CREAT 1GB ROJO/NG,117,399,140,NULL,Creative,NULL,Estandar,NULL,UNI,UNIDADES
1055,NMAD MUVO TX CL 1GB FM ROJO/NG,NMAD MUVO TX CL 1GB FM ROJO/NG,117,427.4715,149.99,NULL,Creative,NULL,Estandar,NULL,UNI,UNIDADES
1056,ZEN NANO CREAT 1GB VERDE,ZEN NANO CREAT 1GB VERDE,117,427.4715,149.99,NULL,Creative,NULL,Estandar,NULL,UNI,UNIDADES
1057,MP3 PLAYER 1GB GENIUS AZ/PL CJ,MP3 PLAYER 1GB GENIUS AZ/PL CJ,117,336.2715,117.99,NULL,Genius,NULL,Estandar,NULL,UNI,UNIDADES
1058,ZEN NEEON CREAT 5GB NARANJA,ZEN NEEON CREAT 5GB NARANJA,117,484.5,170,NULL,Creative,NULL,Estandar,NULL,UNI,UNIDADES
1059,NOMAD MUV CREAT 128MB AZUL,NOMAD MUV CREAT 128MB AZUL,117,370.5,130,NULL,Creative,NULL,Estandar,NULL,UNI,UNIDADES
1060,NMAD MUVO TX CREAT 128MB PLATA,NMAD MUVO TX CREAT 128MB PLATA,117,570,200,NULL,Creative,NULL,Estandar,NULL,UNI,UNIDADES
1061,MP3 APPLE IPOD NANO 2GB NG,MP3 APPLE IPOD NANO 2GB NG,117,997.4715,349.99,NULL,Apple,NULL,Estandar,NULL,UNI,UNIDADES
1062,MUVO TX CREAT 256MB PLAT/NEG,MUVO TX CREAT 256MB PLAT/NEG,117,655.5,230,NULL,Creative,NULL,Estandar,NULL,UNI,UNIDADES
1063,ZEN NANO CREAT 256MB BLANCO,ZEN NANO CREAT 256MB BLANCO,117,341.9715,119.99,NULL,Creative,NULL,Estandar,NULL,UNI,UNIDADES
1064,MP3 PLAYER 256MB GENIUS,MP3 PLAYER 256MB GENIUS,117,342,120,NULL,Genius,NULL,Estandar,NULL,UNI,UNIDADES
1065,Canon PowerShot S410 4MP,Canon PowerShot S410 4MP,121,755.25,265,NULL,Canon,NULL,Digital,NULL,UNI,UNIDADES
1066,Kodak EasyShare CX6200 2MP,Kodak EasyShare CX6200 2MP,121,426.873,149.78,NULL,Kodak,NULL,Digital,NULL,UNI,UNIDADES
1067,Sony Cybershot DSCP41 4MP,Sony Cybershot DSCP41 4MP,121,342,120,NULL,Sony,NULL,Digital,NULL,UNI,UNIDADES
1068,Canon PowerShot S500 5MP con Zoom optico,Canon PowerShot S500 5MP con Zoom optico,121,1139.9715,399.99,NULL,Canon,NULL,Digital,NULL,UNI,UNIDADES
1069,Canon EOS 6.3MP con lente de 18-55MM,Canon EOS 6.3MP con lente de 18-55MM,121,2079.075,729.5,NULL,Canon,NULL,Lente 18-55MM,NULL,UNI,UNIDADES
1070,Nikon Coolpix 3200 3.2MP con Zoom optico,Nikon Coolpix 3200 3.2MP con Zoom optico,121,538.365,188.9,NULL,Nikon,NULL,Digital,NULL,UNI,UNIDADES
1071,CAM SONY CYBSHOT DSC-T7,CAM SONY CYBSHOT DSC-T7,121,538.365,188.9,NULL,Sony,NULL,Digital,NULL,UNI,UNIDADES
1072,CAMARA BENQ DC E300,CAMARA BENQ DC E300,121,427.5,150,NULL,BENQ,NULL,Digital,NULL,UNI,UNIDADES
1073,CAMARA CREAT DC-CAM 3200Z 3.2,CAMARA CREAT DC-CAM 3200Z 3.2,121,626.9715,219.99,NULL,Creative,NULL,Digital,NULL,UNI,UNIDADES
1074,CAMARA DIGITAL PHOTOPC L-410,CAMARA DIGITAL PHOTOPC L-410,121,569.9715,199.99,NULL,Epson,NULL,Digital,NULL,UNI,UNIDADES
1075,CAM DIG GENIUS G-SHOT D613 NEG,CAM DIG GENIUS G-SHOT D613 NEG,121,538.365,188.9,NULL,Genius,NULL,Digital,NULL,UNI,UNIDADES
1076,CAM DIG GENIUS G-SHOT D613 WHT,CAM DIG GENIUS G-SHOT D613 WHT,121,538.365,188.9,NULL,Genius,NULL,Digital,NULL,UNI,UNIDADES
1077,CAMARA DIG GENIUS G-SHOT DV600,CAMARA DIG GENIUS G-SHOT DV600,121,356.2215,124.99,NULL,Genius,NULL,Digital,NULL,UNI,UNIDADES
1078,CAM DIGITAL GENIUS G-SHOT G512,CAM DIGITAL GENIUS G-SHOT G512,121,427.5,150,NULL,Genius,NULL,Digital,NULL,UNI,UNIDADES
1079,CAMARA DIG GENIUS GSHOT P611,CAMARA DIG GENIUS GSHOT P611,121,399,140,NULL,Genius,NULL,Digital,NULL,UNI,UNIDADES
1080,CAM DIGITAL GENIUS G-SHOT P713,CAM DIGITAL GENIUS G-SHOT P713,121,487.3215,170.99,NULL,Genius,NULL,Digital,NULL,UNI,UNIDADES
1081,Sony Handycam DCRHC40,Sony Handycam DCRHC40,122,1139.9715,399.99,NULL,Sony,NULL,Digital,NULL,UNI,UNIDADES
1082,Sony DCRDVD201 1MP DVD con Zoom Optico,Sony DCRDVD201 1MP DVD con Zoom Optico,122,1456.065,510.9,NULL,Sony,NULL,Digital,NULL,UNI,UNIDADES
1083,Canon ZR80 MiniDV,Canon ZR80 MiniDV,122,869.82,305.2,NULL,Canon,NULL,Estandar,NULL,UNI,UNIDADES
1084,JVC GRD33US Minidv,JVC GRD33US Minidv,122,803.6715,281.99,NULL,JVC,NULL,Estandar,NULL,UNI,UNIDADES
1085,Philips Key019 Key Ring,Philips Key019 Key Ring,122,650.028,228.08,NULL,Philips,NULL,Digital,NULL,UNI,UNIDADES
1086,Samsung SCL906 Hi8,Samsung SCL906 Hi8,122,555.75,195,NULL,Samsung,NULL,Estandar,NULL,UNI,UNIDADES
1087,Panasonic PVGS200 3CCD MiniDV,Panasonic PVGS200 3CCD MiniDV,122,1212.675,425.5,NULL,Panasonic,NULL,Digital,NULL,UNI,UNIDADES
1088,Panasonic PVGS9 Compact,Panasonic PVGS9 Compact,122,1023.15,359,NULL,Panasonic,NULL,Compacta,NULL,UNI,UNIDADES
1089,Polaroid i-Zone 200,Polaroid i-Zone 200,123,128.25,45,NULL,Polaroid,NULL,Instantanea,NULL,UNI,UNIDADES
1090,Polaroid Spectra 1200FF,Polaroid Spectra 1200FF,123,357.675,125.5,NULL,Polaroid,NULL,Instantanea,NULL,UNI,UNIDADES
1091,Olympus Stylus 80 QD 35mm,Olympus Stylus 80 QD 35mm,123,126.6825,44.45,NULL,Olympus,NULL,Estandar,NULL,UNI,UNIDADES
1092,Kodak PlusDigital,Kodak PlusDigital,123,24.1965,8.49,NULL,Kodak,NULL,Descartable,NULL,UNI,UNIDADES
1093,Canon Sure Shot 115u 35mm,Canon Sure Shot 115u 35mm,123,166.44,58.4,NULL,Canon,NULL,Compacta,NULL,UNI,UNIDADES
1094,HP PSC 1210 Multifunción,HP PSC 1210 Multifunción,131,803.7,282,NULL,HP,NULL,Monocroma,NULL,UNI,UNIDADES
1095,HP Officejet 7110 All-in-One todo en uno,HP Officejet 7110 All-in-One todo en uno,131,1082.5725,379.85,NULL,HP,NULL,Todo en uno,NULL,UNI,UNIDADES
1096,Canon ImageClass D780 Personal,Canon ImageClass D780 Personal,131,1775.1225,622.85,NULL,Canon,NULL,Monocroma,NULL,UNI,UNIDADES
1097,Sharp AL-1631 Digital,Sharp AL-1631 Digital,131,1225.3575,429.95,NULL,Sharp,NULL,Laser,NULL,UNI,UNIDADES
1098,HP OfficeJet 5510,HP OfficeJet 5510,131,953.325,334.5,NULL,HP,NULL,Color,NULL,UNI,UNIDADES
1099,Epson Stylus CX6600,Epson Stylus CX6600,131,826.4715,289.99,NULL,Epson,NULL,Color,NULL,UNI,UNIDADES
1100,Xerox Workcentre XD105f Digital,Xerox Workcentre XD105f Digital,131,998.925,350.5,NULL,Xerox,NULL,Digital,NULL,UNI,UNIDADES
1101,IMP CANON PIXMA IP1000 U,IMP CANON PIXMA IP1000 U,132,357.675,125.5,NULL,Canon,NULL,Estandar,NULL,UNI,UNIDADES
1102,IMP CANON PIXMA IP6220D U,IMP CANON PIXMA IP6220D U,132,953.325,334.5,NULL,Canon,NULL,Estandar,NULL,UNI,UNIDADES
1103,IMP EPSON STYLUS C45 U,IMP EPSON STYLUS C45 U,132,357.675,125.5,NULL,Epson,NULL,Estandar,NULL,UNI,UNIDADES
1104,IMP EPSON STYLUS PRO 4800 P,IMP EPSON STYLUS PRO 4800 P,132,1775.1225,622.85,NULL,Epson,NULL,Estandar,NULL,UNI,UNIDADES
1105,IMP HP DESKJET C6540 U,IMP HP DESKJET C6540 U,132,953.325,334.5,NULL,HP,NULL,Estandar,NULL,UNI,UNIDADES
1106,HP Color LaserJet,HP Color LaserJet,132,1139.6295,399.87,NULL,HP,NULL,Laser,NULL,UNI,UNIDADES
1107,Xerox Phaser 6100/DN Network,Xerox Phaser 6100/DN Network,132,854.9715,299.99,NULL,Xerox,NULL,Laser,NULL,UNI,UNIDADES
1108,Konica Minolta magicolor 2350,Konica Minolta magicolor 2350,132,862.125,302.5,NULL,Konica,NULL,Laser,NULL,UNI,UNIDADES
1109,Lexmark C510N,Lexmark C510N,132,656.925,230.5,NULL,Lexmark,NULL,Laser,NULL,UNI,UNIDADES
1110,Canon FaxPhone L75 Laser,Canon FaxPhone L75 Laser,132,624.093,218.98,NULL,Canon,NULL,Fax,NULL,UNI,UNIDADES
1111,Canon i960 Photo Printer,Canon i960 Photo Printer,132,328.32,115.2,NULL,Canon,NULL,Inyección de tinta,NULL,UNI,UNIDADES
1112,Epson Stylus Photo 1280,Epson Stylus Photo 1280,132,342.285,120.1,NULL,Epson,NULL,Inyección de tinta,NULL,UNI,UNIDADES
1113,Epson Stylus C84 Inkjet,Epson Stylus C84 Inkjet,132,185.25,65,NULL,Epson,NULL,Inyección de tinta,NULL,UNI,UNIDADES
1114,Canon Faxphone L80 Laser,Canon Faxphone L80 Laser,133,589.9215,206.99,NULL,Canon,NULL,Laser,NULL,UNI,UNIDADES
1115,HP Fax 1010 Papel plano,HP Fax 1010 Papel plano,133,270.75,95,NULL,HP,NULL,Papel plano,NULL,UNI,UNIDADES
1116,Sharp UX-CC500 5 en 1,Sharp UX-CC500 5 en 1,133,273.4575,95.95,NULL,Sharp,NULL,5 en 1,NULL,UNI,UNIDADES
1117,Panasonic KX-FP145,Panasonic KX-FP145,133,284.6295,99.87,NULL,Panasonic,NULL,Compacta,NULL,UNI,UNIDADES
1118,Panasonic KX-FL521,Panasonic KX-FL521,133,306.375,107.5,NULL,Panasonic,NULL,Papel plano,NULL,UNI,UNIDADES
1119,Canon Faxphone L170 Laser,Canon Faxphone L170 Laser,133,868.395,304.7,NULL,Canon,NULL,Laser,NULL,UNI,UNIDADES
1120,Epson Perfection 3170,Epson Perfection 3170,134,427.0725,149.85,NULL,Epson,NULL,Estandar,NULL,UNI,UNIDADES
1121,HP PSC 1210 Multifunction,HP PSC 1210 Multifunction,134,148.2,52,NULL,Hp,NULL,Multifunción,NULL,UNI,UNIDADES
1122,Canon CanoScan LiDE 80,Canon CanoScan LiDE 80,134,349.125,122.5,NULL,Canon,NULL,Compacta,NULL,UNI,UNIDADES
1123,Fujitsu ScanSnap fi-5110EOX,Fujitsu ScanSnap fi-5110EOX,134,1171.35,411,NULL,Fujitsu,NULL,Completa,NULL,UNI,UNIDADES
1124,Motorola MD681 5.8 GHz Digital,Motorola MD681 5.8 GHz Digital,135,313.4715,109.99,NULL,Motorola,NULL,Contestadora,NULL,UNI,UNIDADES
1125,Panasonic KX-TG2356S 2.4 GHz,Panasonic KX-TG2356S 2.4 GHz,135,199.4715,69.99,NULL,Panasonic,NULL,Inalámbrico,NULL,UNI,UNIDADES
1126,Polycom SoundStation,Polycom SoundStation,135,725.61,254.6,NULL,Polycom,NULL,Audioconferencia,NULL,UNI,UNIDADES
1127,Southwestern Bell FM2572BLN,Southwestern Bell FM2572BLN,135,145.3215,50.99,NULL,Southwestern,NULL,Audioconferencia,NULL,UNI,UNIDADES
1128,VTech 20-2420 Accessory,VTech 20-2420 Accessory,135,139.308,48.88,NULL,Vtec,NULL,Multilinea,NULL,UNI,UNIDADES
1129,Panasonic KX-TG2740S 2.4 GHz,Panasonic KX-TG2740S 2.4 GHz,135,199.158,69.88,NULL,Panasonic,NULL,Multilinea,NULL,UNI,UNIDADES
1130,Motorola MD671 5.8 GHz Expandible,Motorola MD671 5.8 GHz Expandible,135,284.829,99.94,NULL,Motorola,NULL,Altavoz,NULL,UNI,UNIDADES
1131,Apple M9425LL/A eMac Combo,Apple M9425LL/A eMac Combo,141,2262.9,794,NULL,Apple,NULL,Completa,NULL,UNI,UNIDADES
1132,"Apple iMac Desktop 15"" M9285LL","Apple iMac Desktop 15"" M9285LL",141,2562.15,899,NULL,Apple,NULL,Pantalla plana,NULL,UNI,UNIDADES
1133,Compaq Presario S5400NX,Compaq Presario S5400NX,141,2136.075,749.5,NULL,Compaq,NULL,Estandar,NULL,UNI,UNIDADES
1134,Compaq  SMART ARRAY 5304/256,Compaq  SMART ARRAY 5304/256,141,5074.425,1780.5,NULL,Compaq,NULL,Servidor,NULL,UNI,UNIDADES
1135,COMPAQ s3310cl Presario,COMPAQ s3310cl Presario,141,1596,560,NULL,Compaq,NULL,Estandar,NULL,UNI,UNIDADES
1136,HP Pavilion A510N,HP Pavilion A510N,141,1564.65,549,NULL,HP,NULL,Estandar,NULL,UNI,UNIDADES
1137,HP Pavilion a320n,HP Pavilion a320n,141,2492.325,874.5,NULL,HP,NULL,Estandar,NULL,UNI,UNIDADES
1138,IBM THINKCENTRE A50P P4,IBM THINKCENTRE A50P P4,141,2143.1715,751.99,NULL,IBM,NULL,Estandar,NULL,UNI,UNIDADES
1139,IBM INTELLISTA MPRO P4,IBM INTELLISTA MPRO P4,141,5069.865,1778.9,NULL,IBM,NULL,Estandar,NULL,UNI,UNIDADES
1140,IBM NETVISTA M42 P4,IBM NETVISTA M42 P4,141,3171.252,1112.72,NULL,IBM,NULL,Estandar,NULL,UNI,UNIDADES
1141,"Apple iBook Notebook 12"" M9426LL","Apple iBook Notebook 12"" M9426LL",142,3420,1200,NULL,Apple,NULL,Estandar,NULL,UNI,UNIDADES
1142,Compaq Presario R3210US Notebook,Compaq Presario R3210US Notebook,142,7125,2500,NULL,Compaq,NULL,Estandar,NULL,UNI,UNIDADES
1143,HP Pavilion ze4805us Notebook,HP Pavilion ze4805us Notebook,142,5346.5715,1875.99,NULL,HP,NULL,Estandar,NULL,UNI,UNIDADES
1144,IBM ThinkPad T41 (2379DJU) Notebook,IBM ThinkPad T41 (2379DJU) Notebook,142,4844.9715,1699.99,NULL,IBM,NULL,Estandar,NULL,UNI,UNIDADES
1145,Sharp Actius PC-RD10 Notebook,Sharp Actius PC-RD10 Notebook,142,4557.15,1599,NULL,Sharp,NULL,Estandar,NULL,UNI,UNIDADES
1146,Sony VAIO VGN-S260 Notebook,Sony VAIO VGN-S260 Notebook,142,5414.9715,1899.99,NULL,Sony,NULL,Estandar,NULL,UNI,UNIDADES
1147,Toshiba Satellite A75-S206 Notebook,Toshiba Satellite A75-S206 Notebook,142,3563.925,1250.5,NULL,Toshiba,NULL,Estandar,NULL,UNI,UNIDADES
1148,Toshiba Qosmio E15-AV101 Notebook,Toshiba Qosmio E15-AV101 Notebook,142,7124.9715,2499.99,NULL,Toshiba,NULL,Estandar,NULL,UNI,UNIDADES
1149,NB HP PAVILION ZE2220LA 80/512,NB HP PAVILION ZE2220LA 80/512,142,4844.9715,1699.99,NULL,HP,NULL,Estandar,NULL,UNI,UNIDADES
1150,NB HP BUSINESS NX6125 220 SP,NB HP BUSINESS NX6125 220 SP,142,7124.9715,2499.99,NULL,HP,NULL,Estandar,NULL,UNI,UNIDADES
1151,NB COMPAQ PRESARIO V2417LA,NB COMPAQ PRESARIO V2417LA,142,7124.9715,2499.99,NULL,Compaq,NULL,Estandar,NULL,UNI,UNIDADES
1152,NB COMPAQ PRESARIO V2415LA,NB COMPAQ PRESARIO V2415LA,142,4844.9715,1699.99,NULL,Compaq,NULL,Estandar,NULL,UNI,UNIDADES
1153,NB HP NX6125 SEMP2800/256/60,NB HP NX6125 SEMP2800/256/60,142,3563.925,1250.5,NULL,HP,NULL,Estandar,NULL,UNI,UNIDADES
1154,PalmOne Tungsten E Handheld,PalmOne Tungsten E Handheld,143,565.725,198.5,NULL,Palm,NULL,Estandar,NULL,UNI,UNIDADES
1155,Sharp OZ-290 Wizard,Sharp OZ-290 Wizard,143,639.825,224.5,NULL,Sharp,NULL,Wizard,NULL,UNI,UNIDADES
1156,HP iPAQ 4155 Pocket PC,HP iPAQ 4155 Pocket PC,143,854.9715,299.99,NULL,HP,NULL,Compacta,NULL,UNI,UNIDADES
1157,Sony CLIE PEG-TJ27 Handheld,Sony CLIE PEG-TJ27 Handheld,143,413.2215,144.99,NULL,Sony,NULL,Estandar,NULL,UNI,UNIDADES
1158,PalmOne Tungsten T5 Handheld,PalmOne Tungsten T5 Handheld,143,1138.575,399.5,NULL,Palm,NULL,Compacta,NULL,UNI,UNIDADES
2001,SACACORCHOS MARCA HOMEX 0311,SACACORCHOS MARCA HOMEX 0311,211,25.5,8.9474,NULL,Homex,NULL,Estandar,NULL,UNI,UNIDADES
2002,HIELERA EST LISA ARTICO 0310EL,HIELERA EST LISA ARTICO 0310EL,211,41.6,14.5965,NULL,Artico,NULL,Estandar,NULL,UNI,UNIDADES
2003,PORTA VINO CHROME WB100C,PORTA VINO CHROME WB100C,211,65.9,23.1228,NULL,Chevelle,NULL,Grande,NULL,UNI,UNIDADES
2004,BATIDOR COCKTAIL M924,BATIDOR COCKTAIL M924,211,56.2,19.7193,NULL,Lexus,NULL,Estandar,NULL,UNI,UNIDADES
2005,PICADOR DE HIELO EKCO 44003,PICADOR DE HIELO EKCO 44003,211,18.6,6.5263,NULL,Chevelle,NULL,Mediano,NULL,UNI,UNIDADES
2006,AZUCARERO C/TAPA VILLARICA VERDE MATE,AZUCARERO C/TAPA VILLARICA VERDE MATE,212,38,13.3333,NULL,Villa Rica,NULL,Madera,NULL,UNI,UNIDADES
2007,TAZA CAFE C/PLATO AZUL VILLA RICA,TAZA CAFE C/PLATO AZUL VILLA RICA,212,32.6,11.4386,NULL,Villa Rica,NULL,Loza,NULL,UNI,UNIDADES
